Student_Names,Phone_No.,Gender,Study_Hours,Part_Time_Job,Math,Physics,Chemistry,Grade,Comment,Course_Recommendation,CourseCode,ListofCourses,RatingOfCourses
Deepansh Maurrya,9571473482,Male,2,Yes,92,69,65,B+,Good Pursuance,"05_CSECS, 32_BC, 36_BSP",32_BC,BCA,4.5
Hayat Rai,9553362005,Male,7,No,85,16,81,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",34_BSM,B.Sc in Math,4.5
Yogash Vishwakarma,9256712216,Male,5,No,77,61,77,B+,Good Pursuance,"02_CSAI, 32_BC, 35_BSC",35_BSC,B.Sc in Chemistry,4.5
Nizam Thakur,9899098496,Male,7,No,44,11,40,F,Failed,Better luck next time,36_BSP,B.Sc in Physics,5
Narasappa Seth,9020662823,Female,8,Yes,31,16,37,F,Failed,Better luck next time,37_BES,B.Sc in Environmental Science,5
Rupsingh Srivastav,9131711391,Male,10,Yes,57,97,60,B+,Good Pursuance,"02_CSAI, 32_BC, 35_BSC",38_CSE,B.E/B.Tech in Computer Science & Engineering ,5
Shantha Vishwakarma,9848187777,Female,7,No,73,61,50,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",39_CSAI,B.E/B.Tech in Computer Science & Engineering (AI),4.5
Jahidul Maurrya,9920322337,Female,2,No,38,47,92,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",40_CSDS,B.E/B.Tech in Computer Science & Engineering ( Data Science),5
Kadar Srivastav,9791313813,Male,8,No,50,86,76,B,Average Performance,Better luck next time,41_CSR,B.E/B.Tech in Computer Science & Engineering (Robotics),3
Khyali Pandit,9227150771,Male,6,No,32,46,39,D,Poor Pursuance,Better luck next time,42_CSECS,B.E/B.Tech in Computer Science & Engineering (Cyber Security),4.5
Arshad Pandey,9815029001,Female,6,Yes,30,26,92,D,Poor Pursuance,Better luck next time,43_CSIOT,B.E/B.Tech in Computer Science & Engineering (IOT ),5
Sk Khan Gupta,9316650556,Female,2,Yes,52,99,68,B+,Good Pursuance,"02_CSAI, 32_BC, 35_BSC",44_CSBS,B.E/B.Tech in Computer Science and Business System (CSBS),3
Indar Divedi,9093987571,Female,1,Yes,76,44,30,D,Poor Pursuance,Better luck next time,45_ESE,B.E/B.Tech in Electronic Engineering,5
Ck Rajput,9372099415,Male,9,Yes,10,10,45,F,Failed,Better luck next time,46_ECE,B.E/B.Tech in Electronics and Communication Engineering ,5
Mukesh Patel Srivastav,9631303240,Male,1,No,71,84,74,B+,Good Pursuance,"05_CSECS, 32_BC, 36_BSP",47_EE,B.E/B.Tech in Electrical Engineering,5
Kesha Thakur,9647962112,Male,7,No,18,55,55,D,Poor Pursuance,Better luck next time,48_ME,B.E/B.Tech in Mechanical Engineering,5
Pradipta Tiwari,9866753896,Female,7,Yes,45,68,69,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",49_AE,B.E/B.Tech in Aerospace Engineering,2.5
Devid Rajput,9012109661,Male,1,No,35,59,58,D,Poor Pursuance,Better luck next time,50_CE,B.E/B.Tech in Civil Engineering,3
Kabali Divedi,9244358398,Female,10,Yes,91,20,99,B,Average Performance,Better luck next time,51_AUE,B.E/B.Tech in Automobile Engineering,2.5
Denesh Devi,9868386372,Male,9,No,36,21,57,D,Poor Pursuance,Better luck next time,52_CHE,B.E/B.Tech in Chemical Engineering,4.5
Sandhyarani Seth,9995107874,Female,4,Yes,21,44,29,F,Failed,Better luck next time,53_BIOE,B.E/B.Tech in Biomedical Engineer,4
Nemchand Rai,9149043399,Male,3,Yes,48,88,56,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",54_PE,B.E/B.Tech in Petroleum Engineering,2.5
Paran Divedi,9385155737,Female,9,No,43,77,81,B,Average Performance,"04_CSR, 24_PROD, 13_CE",55_MIE,B.E/B.Tech in Mining Engineering,2.5
Shashwat Thakur,9607959166,Male,1,No,67,84,47,B,Average Performance,"04_CSR, 24_PROD, 13_CE",56_MECH,B.E/B.Tech in Mechatronics,3
Kalaivanan Gupta,9763360283,Male,3,Yes,43,23,23,F,Failed,Better luck next time,57_BT,B.E/B.Tech in Biotechnology,2.5
Ajay Das Singh,9629929039,Male,7,No,97,43,68,B,Average Performance,"04_CSR, 24_PROD, 13_CE",58_ENE,B.E/B.Tech in Environmental Engineering,3.5
Gautami Rajput,9174309489,Female,6,No,62,59,54,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",59_EEE,B.E/B.Tech in Electrical and Electronics Engineering,5
Kulwant Vishwakarma,9584433534,Female,10,Yes,29,37,23,F,Failed,Better luck next time,60_AEE,B.E/B.Tech in Aeronautical Engineering,5
सतीश Gupta,9416784669,Female,7,Yes,80,43,46,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",61_PROD,B.E/B.Tech in Production Engineering,3
Sakaram Sonkar,9352438684,Female,5,No,39,13,35,F,Failed,Better luck next time,62_FPT,B.E/B.Tech in Food Processing and Technology,5
Junad Rao,9174004284,Female,5,Yes,82,56,52,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",63_AGRE,B.E/B.Tech in Agricultural Engineering,5
Dabhi Gupta,9958974447,Female,8,No,92,35,12,D,Poor Pursuance,Better luck next time,64_DTE,B.E/B.Tech in Dairy Technology and Engineering,3.5
Balakrishna Srivastav,9531097384,Female,4,No,76,61,58,B,Average Performance,"04_CSR, 24_PROD, 13_CE",65_METE,B.E/B.Tech in Metallurgy Engineering,2
Resham Rajput,9001362536,Female,9,Yes,77,80,36,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",66_TEXE,B.E/B.Tech in Textile Engineering,2
Balli Kumari,9334510962,Male,10,No,35,13,79,D,Poor Pursuance,Better luck next time,67_MARE,B.E/B.Tech in Marine Engineering,2.5
Girika Seth,9489918015,Female,1,Yes,63,89,17,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",68_POLE,B.E/B.Tech in Polymer Engineering,2
Bhoi Singh,9144301148,Male,4,No,34,60,61,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",69_BC,BCA,4.5
Brajraj Rai,9314318469,Male,5,No,24,50,15,F,Failed,Better luck next time,70_BSM,B.Sc in Math,4.5
Jasbir Rao,9076237457,Male,3,Yes,57,54,45,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",71_BSC,B.Sc in Chemistry,4.5
Sahed Gupta,9137644088,Female,8,No,94,43,58,B,Average Performance,"04_CSR, 24_PROD, 13_CE",72_BSP,B.Sc in Physics,5
Raashid Vishwakarma,9164023623,Female,7,No,16,80,99,B,Average Performance,"04_CSR, 24_PROD, 13_CE",73_BES,B.Sc in Environmental Science,5
Sentu Pratap,9362288232,Female,7,Yes,66,100,56,B+,Good Pursuance,"02_CSAI, 32_BC, 35_BSC",NULL,NULL,NULL
Subrat Devi,9659714961,Female,5,No,37,48,12,F,Failed,Better luck next time,NULL,NULL,NULL
Yogender Pandey,9172716690,Male,1,No,60,96,50,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Saptarshi Maurya,9454905125,Male,2,Yes,15,90,34,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Rajeswari Kumari,9067546368,Male,7,No,73,84,21,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Sanjay Singh Pandey,9717933457,Female,7,No,92,69,20,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Anjana Sonkar,9460824870,Female,2,Yes,88,79,95,A,Very Good Achivement,"15_CHE, 16_BIOE, 25_FPT",NULL,NULL,NULL
Rameshvar Gupta,9159362438,Male,9,No,88,69,84,B+,Good Pursuance,Better luck next time,NULL,NULL,NULL
Sher Bahadur Singh,9754993084,Female,6,Yes,11,64,85,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Rushab Tiwari,9861253662,Male,4,Yes,97,64,98,A,Very Good Achivement,"15_CHE, 16_BIOE, 25_FPT",NULL,NULL,NULL
Ganga Yadav,9071154029,Male,5,No,68,20,35,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Dilshad Pandey,9502921445,Male,7,No,93,68,19,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Shinchan Divedi,9135971803,Male,10,Yes,23,59,48,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Avez Singh,9205328523,Male,2,No,97,15,50,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Raaja Maurya,9974587134,Female,10,No,50,67,33,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Malkit Pandey,9415221419,Female,4,Yes,71,48,34,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Prosen Rao,9470030669,Female,3,No,100,13,11,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Farookh Gupta,9708480078,Female,4,Yes,67,86,79,B+,Good Pursuance,"05_CSECS, 32_BC, 36_BSP",NULL,NULL,NULL
Tejpal Singh Gupta,9637917507,Male,4,Yes,80,61,49,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Divaakar Yadav,9530967480,Male,2,Yes,82,36,77,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Gayasuddin Gupta,9523609031,Male,1,Yes,59,90,90,B+,Good Pursuance,"05_CSECS, 32_BC, 36_BSP",NULL,NULL,NULL
Taijul Kumari,9548609474,Female,2,Yes,55,30,88,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Takeshwar Mishra,9220045586,Male,6,No,99,13,87,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
मिथुन Mishra,9743411753,Female,2,Yes,68,72,63,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Pinu Srivastav,9088733709,Female,1,No,99,22,54,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Dhirender Devi,9108630566,Male,5,No,94,56,40,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
दिनेश Yadav,9619663029,Female,4,Yes,16,72,87,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Rageshwari Yadav,9443001578,Male,1,Yes,35,50,20,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Shah Nawaz Pandey,9656554667,Male,9,Yes,42,79,62,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Jay Shankar Sonkar,9859922701,Male,6,Yes,59,59,35,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Malini Divedi,9542960824,Female,1,Yes,70,62,96,B+,Good Pursuance,"05_CSECS, 32_BC, 36_BSP",NULL,NULL,NULL
Akash Mishra,9906427469,Male,3,No,40,21,11,F,Failed,Better luck next time,NULL,NULL,NULL
Sopna Rao,9634185969,Female,4,Yes,49,49,35,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Tribhuvan Srivastav,9222670999,Female,5,No,46,35,29,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Mohnish Kumari,9863185608,Male,5,No,44,100,59,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Parvej Yadav,9373554498,Female,1,Yes,75,26,75,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Jadish Devi,9697575696,Female,10,Yes,28,59,49,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Ajesh Pandit,9290661416,Female,8,Yes,31,61,41,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Fanish Divedi,9591059646,Male,8,Yes,92,45,88,B+,Good Pursuance,"05_CSECS, 32_BC, 36_BSP",NULL,NULL,NULL
Jagu Singh,9973553661,Male,7,No,16,62,33,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Minhajul Seth,9993258741,Male,8,Yes,29,17,76,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Sanny Yadav,9812557232,Female,6,No,28,20,22,F,Failed,Better luck next time,NULL,NULL,NULL
Agrima Kumar,9781444636,Female,1,Yes,81,40,43,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Bheru Rao,9085360575,Female,7,Yes,85,41,27,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
M J Divedi,9798316231,Female,2,No,13,83,65,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Md Abdul Srivastav,9373547623,Male,9,No,100,55,30,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Bathula Gupta,9974399614,Female,1,No,84,92,80,A,Very Good Achivement,"15_CHE, 16_BIOE, 25_FPT",NULL,NULL,NULL
Gulsan Rajput,9909766492,Male,9,No,25,43,27,F,Failed,Better luck next time,NULL,NULL,NULL
Musha Rao,9841053876,Male,10,Yes,82,88,50,B+,Good Pursuance,"02_CSAI, 32_BC, 35_BSC",NULL,NULL,NULL
Barkath Sonkar,9874191946,Male,9,No,99,17,19,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Hardik Srivastav,9910501310,Male,7,No,29,41,40,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Singar Vishwakarma,9870360875,Male,2,No,62,72,36,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Bhaagyasree Pandey,9261280875,Female,9,Yes,20,31,39,F,Failed,Better luck next time,NULL,NULL,NULL
Boloram Gupta,9219309145,Male,9,No,65,10,91,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Kumudini Divedi,9589159874,Female,9,No,48,58,88,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Bittu Singh Pratap,9375462744,Male,6,Yes,63,87,97,A,Very Good Achivement,"09_ECE, 23_AEE, 26_AGRE",NULL,NULL,NULL
Dhrupad Gupta,9728540169,Male,1,Yes,51,80,57,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Majhar Gupta,9361816788,Male,10,Yes,42,76,24,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Ramdas Pratap,9046095791,Male,7,Yes,67,84,90,B+,Good Pursuance,Better luck next time,NULL,NULL,NULL
Amey Srivastav,9987277708,Male,4,No,63,70,93,B+,Good Pursuance,"05_CSECS, 32_BC, 36_BSP",NULL,NULL,NULL
Palvi Rajput,9020012032,Female,7,No,57,73,89,B+,Good Pursuance,"02_CSAI, 32_BC, 35_BSC",NULL,NULL,NULL
Balbhim Kumar,9727006995,Female,2,Yes,95,66,53,B+,Good Pursuance,"02_CSAI, 32_BC, 35_BSC",NULL,NULL,NULL
Afrin Singh,9601574781,Male,6,Yes,45,23,26,F,Failed,Better luck next time,NULL,NULL,NULL
Alop Rao,9799552489,Male,9,Yes,28,89,37,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Banhishikha Sonkar,9243412130,Female,6,No,30,77,76,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Angana Mishra,9441521751,Male,5,Yes,72,66,97,B+,Good Pursuance,"05_CSECS, 32_BC, 36_BSP",NULL,NULL,NULL
Jayaseelan Tiwari,9036360009,Male,7,Yes,41,77,34,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Hafeez Thakur,9473172901,Female,2,No,76,46,35,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Manubhai Sonkar,9869333772,Male,6,No,57,55,85,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Shagun Pandit,9924190743,Male,8,No,66,85,96,A,Very Good Achivement,"09_ECE, 23_AEE, 26_AGRE",NULL,NULL,NULL
Tabarak Tiwari,9512491024,Female,3,No,73,25,12,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Jilan Tiwari,9238621813,Female,4,Yes,58,75,12,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Amritha Rao,9653816280,Female,6,No,89,41,32,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Hanamanth Tiwari,9330383402,Male,10,No,47,62,13,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Bhimsen Divedi,9839054699,Male,2,Yes,74,17,62,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Sukant Maurya,9368293150,Male,4,No,45,31,63,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Radhey Maurya,9005734445,Female,4,Yes,32,81,46,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Sharry Seth,9956092986,Female,2,Yes,16,29,43,F,Failed,Better luck next time,NULL,NULL,NULL
Bandu Sonkar,9679752840,Female,10,No,63,23,54,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Nobita Rai,9160123970,Male,5,Yes,22,89,45,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Shambu Vishwakarma,9316644774,Female,5,Yes,33,44,97,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Santohs Sonkar,9273881774,Female,3,No,56,73,68,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Tailor Thakur,9575559531,Male,7,Yes,28,32,18,F,Failed,Better luck next time,NULL,NULL,NULL
Dron Yadav,9487862318,Male,9,Yes,60,80,73,B+,Good Pursuance,"02_CSAI, 32_BC, 35_BSC",NULL,NULL,NULL
Julu Vishwakarma,9442119695,Male,2,No,13,96,67,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Asarul Rai,9083415745,Female,10,No,100,44,59,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Mayank Rao,9604779999,Female,6,Yes,52,84,38,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Th Seth,9744761319,Male,7,No,81,46,37,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Aashif Tiwari,9172626513,Male,10,No,73,37,59,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Md Salam Pandey,9328233956,Male,5,No,100,71,38,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Amreek Yadav,9582694226,Male,2,Yes,31,53,71,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Ankita Seth,9551662636,Male,4,Yes,26,51,58,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Ravindra Singh Vishwakarma,9288760492,Female,7,No,81,43,69,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Achchhelal Gupta,9865699975,Female,9,Yes,77,74,42,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Aman Seth,9937338243,Male,2,No,12,17,78,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Karuppasamy Rajput,9812937457,Male,1,Yes,17,94,97,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Malav Maurya,9571222379,Female,10,No,47,37,42,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Archana Tiwari,9119640214,Male,4,Yes,76,50,14,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Brijesh Vishwakarma,9686841220,Female,6,Yes,60,33,82,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Modhu Kumari,9338584719,Male,3,Yes,49,57,38,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Basanti Devi,9023908169,Female,8,No,82,59,18,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Gavi Seth,9906708189,Male,4,No,47,58,17,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Ashlesh Srivastav,9093631193,Female,4,No,36,62,54,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Sarun Sonkar,9777903479,Female,10,No,49,31,15,F,Failed,Better luck next time,NULL,NULL,NULL
Mudiraj Pandey,9602029112,Female,3,Yes,13,13,11,F,Failed,Better luck next time,NULL,NULL,NULL
राहूल Rajput,9676041295,Female,6,No,82,64,70,B+,Good Pursuance,"02_CSAI, 32_BC, 35_BSC",NULL,NULL,NULL
Mp Thakur,9965767111,Female,2,Yes,10,64,49,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Joga Kumar,9978442648,Female,5,Yes,27,34,16,F,Failed,Better luck next time,NULL,NULL,NULL
Cʜocoɭʌtƴ Rai,9396821941,Male,3,Yes,83,38,20,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Prempal Sonkar,9679282717,Female,10,No,84,20,60,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Bp Thakur,9396435538,Male,6,Yes,53,35,19,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Yalappa Yadav,9824728410,Female,1,Yes,74,75,20,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Jogeswar Pandey,9825880171,Male,8,No,87,98,68,A,Very Good Achivement,"09_ECE, 23_AEE, 26_AGRE",NULL,NULL,NULL
Barku Seth,9419078192,Male,7,Yes,22,88,10,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Begum Gupta,9692635810,Female,10,No,33,93,42,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Parshuram Kumari,9452359851,Female,3,Yes,29,64,32,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Md Asraf Vishwakarma,9238375259,Female,8,No,21,59,37,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Ahil Rai,9770359746,Male,2,No,29,85,92,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Gajendra Maurrya,9486766266,Female,9,Yes,68,80,62,B,Average Performance,Better luck next time,NULL,NULL,NULL
Sharana Maurrya,9204780460,Male,3,No,55,11,78,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
